#  site  atom  site  atom  shell  is    irs        x             y             z             r          Joj(mRy)       Joj(meV)
    2     Co    2     Co    13    24   203     21.741308     14.494205      0.000000     26.129800      0.0057222      0.0778538
    2     Co    2     Co    14     1   204    -21.741308    -14.494205     -7.247103     27.116175      0.0004384      0.0059643
    2     Co    2     Co    14     2   205    -21.741308    -14.494205      7.247103     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14     3   206    -21.741308     -7.247103    -14.494205     27.116175      0.0004384      0.0059643
    2     Co    2     Co    14     4   207    -21.741308     -7.247103     14.494205     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14     5   208    -21.741308      7.247103    -14.494205     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14     6   209    -21.741308      7.247103     14.494205     27.116175      0.0004384      0.0059645
    2     Co    2     Co    14     7   210    -21.741308     14.494205     -7.247103     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14     8   211    -21.741308     14.494205      7.247103     27.116175      0.0004384      0.0059645
    2     Co    2     Co    14     9   212    -14.494205    -21.741308     -7.247103     27.116175      0.0004384      0.0059643
    2     Co    2     Co    14    10   213    -14.494205    -21.741308      7.247103     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    11   214    -14.494205     -7.247103    -21.741308     27.116175      0.0004384      0.0059643
    2     Co    2     Co    14    12   215    -14.494205     -7.247103     21.741308     27.116175      0.0004384      0.0059651
    2     Co    2     Co    14    13   216    -14.494205      7.247103    -21.741308     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    14   217    -14.494205      7.247103     21.741308     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    15   218    -14.494205     21.741308     -7.247103     27.116175      0.0004384      0.0059651
    2     Co    2     Co    14    16   219    -14.494205     21.741308      7.247103     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    17   220     -7.247103    -21.741308    -14.494205     27.116175      0.0004384      0.0059643
    2     Co    2     Co    14    18   221     -7.247103    -21.741308     14.494205     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    19   222     -7.247103    -14.494205    -21.741308     27.116175      0.0004384      0.0059643
    2     Co    2     Co    14    20   223     -7.247103    -14.494205     21.741308     27.116175      0.0004384      0.0059651
    2     Co    2     Co    14    21   224     -7.247103     14.494205    -21.741308     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    22   225     -7.247103     14.494205     21.741308     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    23   226     -7.247103     21.741308    -14.494205     27.116175      0.0004384      0.0059651
    2     Co    2     Co    14    24   227     -7.247103     21.741308     14.494205     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    25   228      7.247103    -21.741308    -14.494205     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    26   229      7.247103    -21.741308     14.494205     27.116175      0.0004384      0.0059645
    2     Co    2     Co    14    27   230      7.247103    -14.494205    -21.741308     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    28   231      7.247103    -14.494205     21.741308     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    29   232      7.247103     14.494205    -21.741308     27.116175      0.0004384      0.0059645
    2     Co    2     Co    14    30   233      7.247103     14.494205     21.741308     27.116175      0.0004384      0.0059653
    2     Co    2     Co    14    31   234      7.247103     21.741308    -14.494205     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    32   235      7.247103     21.741308     14.494205     27.116175      0.0004384      0.0059653
    2     Co    2     Co    14    33   236     14.494205    -21.741308     -7.247103     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    34   237     14.494205    -21.741308      7.247103     27.116175      0.0004384      0.0059645
    2     Co    2     Co    14    35   238     14.494205     -7.247103    -21.741308     27.116175      0.0004384      0.0059644
    2     Co    2     Co    14    36   239     14.494205     -7.247103     21.741308     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    37   240     14.494205      7.247103    -21.741308     27.116175      0.0004384      0.0059645
    2     Co    2     Co    14    38   241     14.494205      7.247103     21.741308     27.116175      0.0004384      0.0059653
    2     Co    2     Co    14    39   242     14.494205     21.741308     -7.247103     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    40   243     14.494205     21.741308      7.247103     27.116175      0.0004384      0.0059653
    2     Co    2     Co    14    41   244     21.741308    -14.494205     -7.247103     27.116175      0.0004384      0.0059651
    2     Co    2     Co    14    42   245     21.741308    -14.494205      7.247103     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    43   246     21.741308     -7.247103    -14.494205     27.116175      0.0004384      0.0059651
    2     Co    2     Co    14    44   247     21.741308     -7.247103     14.494205     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    45   248     21.741308      7.247103    -14.494205     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    46   249     21.741308      7.247103     14.494205     27.116175      0.0004384      0.0059653
    2     Co    2     Co    14    47   250     21.741308     14.494205     -7.247103     27.116175      0.0004384      0.0059652
    2     Co    2     Co    14    48   251     21.741308     14.494205      7.247103     27.116175      0.0004384      0.0059653
    2     Co    2     Co    15     1   252    -28.988410      0.000000      0.000000     28.988410     -0.0610372     -0.8304531
    2     Co    2     Co    15     2   253      0.000000    -28.988410      0.000000     28.988410     -0.0610372     -0.8304531
    2     Co    2     Co    15     3   254      0.000000      0.000000    -28.988410     28.988410     -0.0610372     -0.8304531
    2     Co    2     Co    15     4   255      0.000000      0.000000     28.988410     28.988410     -0.0610391     -0.8304797
    2     Co    2     Co    15     5   256      0.000000     28.988410      0.000000     28.988410     -0.0610391     -0.8304796
    2     Co    2     Co    15     6   257     28.988410      0.000000      0.000000     28.988410     -0.0610391     -0.8304797
    2     Co    2     Co    16     1   258    -28.988410     -7.247103      0.000000     29.880569      0.0084058      0.1143668
    2     Co    2     Co    16     2   259    -28.988410      0.000000     -7.247103     29.880569      0.0084058      0.1143664
    2     Co    2     Co    16     3   260    -28.988410      0.000000      7.247103     29.880569      0.0084059      0.1143679
    2     Co    2     Co    16     4   261    -28.988410      7.247103      0.000000     29.880569      0.0084059      0.1143683
    2     Co    2     Co    16     5   262    -21.741308    -14.494205    -14.494205     29.880569      0.0000035      0.0000470
    2     Co    2     Co    16     6   263    -21.741308    -14.494205     14.494205     29.880569      0.0000034      0.0000467
    2     Co    2     Co    16     7   264    -21.741308     14.494205    -14.494205     29.880569      0.0000034      0.0000467
    2     Co    2     Co    16     8   265    -21.741308     14.494205     14.494205     29.880569      0.0000034      0.0000464
    2     Co    2     Co    16     9   266    -14.494205    -21.741308    -14.494205     29.880569      0.0000035      0.0000470
    2     Co    2     Co    16    10   267    -14.494205    -21.741308     14.494205     29.880569      0.0000034      0.0000467
    2     Co    2     Co    16    11   268    -14.494205    -14.494205    -21.741308     29.880569      0.0000035      0.0000470
    2     Co    2     Co    16    12   269    -14.494205    -14.494205     21.741308     29.880569      0.0000034      0.0000466
    2     Co    2     Co    16    13   270    -14.494205     14.494205    -21.741308     29.880569      0.0000034      0.0000467
    2     Co    2     Co    16    14   271    -14.494205     14.494205     21.741308     29.880569      0.0000034      0.0000463
